Q20643	F52B5.2	CMGC	5.0254689610878565	2.084993501786054E-6	13.0	261.0	173.0	17455.0
A4F324	T08D2.7	CAMK/RAD53	5.815425620523071	0.04585183577424794	2.0	261.0	23.0	17455.0
Q9XTC8	Y52D3.1	STE/STE20	3.1846378398102537	0.27134981732684155	1.0	261.0	21.0	17455.0
Q95Q95	B0261.2	Atypical/PIKK/FRAP	7.430821626223925	0.001975327838457527	4.0	261.0	36.0	17455.0
O44950	C34B2.3	CK1	1.486164325244785	0.49278327205125316	1.0	261.0	45.0	17455.0
O45818	T25E12.4	CAMK/PKD	9.553913519430761	0.10010559544721438	1.0	261.0	7.0	17455.0
Q19043	E02H4.6	CK1	2.7483860809321365	0.0961237775757249	3.0	261.0	73.0	17455.0
Q9NAP8	K09E4.1	CK1	2.6398971566848153	0.10526847218768731	3.0	261.0	76.0	17455.0
P46549	kin-18	STE/STE20	3.039881574364333	0.2822582547321205	1.0	261.0	22.0	17455.0
Q19243	F09C12.2	CMGC/MAPK	0.7472334596202829	0.24904474342163596	2.0	261.0	179.0	17455.0
